Year,Month,Day,Y
2013,1,1,72.908745
2013,2,1,66.159698
2013,3,1,58.840305
2013,4,1,48.003803
2013,5,1,55.13308
2013,6,1,44.534222
2013,7,1,42.110268
2013,8,1,38.307983
2013,9,1,36.977184
2013,10,1,34.648289
2013,11,1,31.178707
2013,12,1,36.169201
2014,1,1,35.741444
2014,2,1,45.532318
2014,3,1,50.855515
2014,4,1,75.095055
2014,5,1,156.844101
2014,6,1,175.855515
2014,7,1,153.041824
2014,8,1,158.745255
2014,9,1,156.844101
2014,10,1,132.129272
2014,11,1,159.695816
2014,12,1,163.498093
2015,1,1,150.190109
2015,2,1,161.121674
2015,3,1,197.718628
2015,4,1,175.380234
2015,5,1,165.399246
2015,6,1,249.524719
2015,7,1,149.714828
2015,8,1,120.247147
2015,9,1,144.961975
2015,10,1,160.171097
2015,11,1,178.70723
2015,12,1,203.422058
2016,1,1,197.243347
2016,2,1,163.022812
2016,3,1,159.220535
2016,4,1,142.11026
2016,5,1,152.091248
2016,6,1,144.961975
2016,7,1,166.349808
2016,8,1,217.205322
2016,9,1,257.604553
2016,10,1,234.315582
2016,11,1,250
2016,12,1,256.653992
2017,1,1,292.775665
2017,2,1,308.935364
2017,3,1,304.182495
2017,4,1,297.528503
2017,5,1,299.429657
2017,6,1,299.904938
2017,7,1,376.425842
2017,8,1,319
2017,9,1,344
2017,10,1,337
2017,11,1,353
2017,12,1,364
2018,1,1,356.5
2018,2,1,326.5
2018,3,1,363
2018,4,1,345
2018,5,1,375
2018,6,1,487
2018,7,1,509
2018,8,1,534
2018,9,1,537
2018,10,1,427.5
2018,11,1,492
2018,12,1,500
2019,1,1,598
2019,2,1,586
2019,3,1,565
2019,4,1,534
2019,5,1,562
2019,6,1,484
2019,7,1,535
2019,8,1,505
2019,9,1,485
2019,10,1,490
2019,11,1,567
2019,12,1,657
2020,1,1,798
2020,2,1,779
2020,3,1,770
2020,4,1,838
2020,5,1,1135
2020,6,1,1435
2020,7,1,1850
2020,8,1,1765
2020,9,1,1455
2020,10,1,1435
2020,11,1,1645
2020,12,1,1570
2021,1,1,1905
2021,2,1,1700
2021,3,1,1490
2021,4,1,1180
2021,5,1,1510
2021,6,1,1345
2021,7,1,1955
2021,8,1,2075
2021,9,1,1670
2021,10,1,1625
2021,11,1,1945
2021,12,1,1820
2022,1,1,1550
2022,2,1,1700
2022,3,1,1945
2022,4,1,1425
2022,5,1,1370
2022,6,1,1115
2022,7,1,973
2022,8,1,935
2022,9,1,664
2022,10,1,582
2022,11,1,741
2022,12,1,670
2023,1,1,893
2023,2,1,991
2023,3,1,1145
2023,4,1,1135
2023,5,1,1250
